player_name,season,season_encoded,team,position,position_encoded,current_age,market_value_eur,log_market_value,market_value_tier_encoded,market_value_source,age_squared,age_decay_factor,career_stage,pos_Defender,pos_Forward,pos_Goalkeeper,pos_Midfielder,matches,minutes_played,minutes_per_match,minutes_played_tier_encoded,goals,assists,shots,passes_total,passes_complete,pass_accuracy_pct,pass_accuracy_tier_encoded,tackles_total,tackles_won,tackle_success_rate,dribbles,interceptions,fouls_committed,goals_per90,assists_per90,shots_per90,goal_contributions_per90,shot_conversion_rate,assist_to_goal_ratio,defensive_actions_per90,dribbles_per90,attacking_output_index,total_injuries,total_days_injured,total_matches_missed,most_common_injury,injury_burden_index,availability_rate,injury_frequency,total_injuries_tier_encoded,total_tweets,total_likes,positive_tweets,negative_tweets,tweet_engagement_rate,social_buzz_score,transfer_attractiveness_score,vader_positive_score,vader_negative_score,vader_compound_score,tb_polarity,tb_subjectivity,positive_count,negative_count,neutral_count,sentiment_label,actual_value,uni_lstm_pred,multi_lstm_pred,encoder_lstm_pred,final_prediction
Sergino Dest,2019/20,1,Barcelona,Midfielder,3,25,12000000.0,16.3004,2,estimated,625,1.0,Prime,0,0,0,1,28,1775,63.3929,2,2,1,14,1211,1089,89.9,3,32,11,0.3438,56,13,17,0.1014,0.0507,0.7099,0.1521,0.1429,0.5,2.2817,2.8394,1.6124,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.9894,0.2287,0.0927,0.2618,0.2028,0.371,2,1,0,Positive,12000000.0,12653174.0,15289380.539725045,16364963.901434356,10461556.0
Frenkie de Jong,2019/20,1,Barcelona,Defender,2,25,15000000.0,16.5236,2,estimated,625,1.0,Prime,1,0,0,0,34,2900,85.2941,3,2,3,15,2583,2370,91.8,3,60,9,0.15,59,31,27,0.0621,0.0931,0.4655,0.1552,0.1333,1.5,2.8241,1.831,1.1545,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.3188,0.0,0.099,-0.1503,0.2667,0.5333,0,1,2,Negative,,,,,14447437.0
Santiago Mina Lorenzo,2019/20,1,Celta Vigo,Midfielder,3,25,10500000.0,16.1669,2,estimated,625,1.0,Prime,0,0,0,1,2,121,60.5,1,2,0,2,36,29,80.6,2,6,1,0.1667,0,0,4,1.4876,0.0,1.4876,1.4876,1.0,0.0,4.4628,0.0,5.2066,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,79.3237,0.1453,0.0357,0.2314,0.2194,0.475,2,0,1,Positive,10500000.0,18450698.0,21664245.433639247,25617931.39216424,8942832.0
Iñaki Williams Arthuer,2019/20,1,Athletic Club,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,173,86.5,1,1,0,3,37,25,67.6,1,2,0,0.0,1,1,3,0.5202,0.0,1.5607,0.5202,0.3333,0.0,1.5607,0.5202,2.4971,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.0511,0.0,0.2007,-0.3043,0.0917,0.3315,0,3,0,Negative,,,,,7558332.5
Arnaldo Antonio Sanabria Ayala,2019/20,1,Real Betis,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,70,70.0,1,1,0,2,14,10,71.4,2,4,0,0.0,0,0,0,1.2857,0.0,2.5714,1.2857,0.5,0.0,5.1429,0.0,5.1429,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.1598,0.0893,0.183,-0.1223,0.0783,0.8831,1,2,0,Negative,,,,,7557408.0
Darwin Daniel Machís Marcano,2019/20,1,Granada,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,138,69.0,1,1,0,3,34,26,76.5,2,6,0,0.0,3,2,2,0.6522,0.0,1.9565,0.6522,0.3333,0.0,5.2174,1.9565,3.5217,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.2581,0.0613,0.17,-0.0816,-0.1,0.3593,1,2,0,Negative,,,,,7552599.5
Maximiliano Gómez González,2019/20,1,Valencia,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,180,90.0,1,1,0,2,28,20,71.4,2,9,1,0.1111,1,0,4,0.5,0.0,1.0,0.5,0.5,0.0,4.5,0.5,2.15,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.6705,0.1733,0.0993,0.1777,0.1833,0.525,2,1,0,Positive,,,,,7558995.0
Carlos Soler Barragán,2019/20,1,Valencia,Midfielder,3,25,12000000.0,16.3004,2,estimated,625,1.0,Prime,0,0,0,1,2,180,90.0,1,1,2,2,70,55,78.6,2,4,1,0.25,0,3,2,0.5,1.0,1.0,1.5,0.5,2.0,3.5,0.0,4.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.1808,0.0,0.1583,-0.2669,0.05,0.1,0,2,1,Negative,,,,,10023385.0
Gabriel Armando de Abreu,2019/20,1,Valencia,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,180,90.0,1,1,0,2,69,59,85.5,3,2,0,0.0,0,6,1,0.5,0.0,1.0,0.5,0.5,0.0,4.0,0.0,2.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.6755,0.1447,0.1473,0.0475,0.1611,0.4775,1,2,0,Neutral,,,,,7557991.5
Mouctar Diakhaby,2019/20,1,Valencia,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,117,58.5,1,1,0,1,22,21,95.5,3,1,1,1.0,0,1,2,0.7692,0.0,0.7692,0.7692,1.0,0.0,1.5385,0.0,2.6923,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,79.7139,0.0613,0.1153,-0.0012,-0.1417,0.1278,1,1,1,Neutral,,,,,7576268.5
Jorge Molina Vidal,2019/20,1,Granada,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,30,30.0,1,1,0,1,6,4,66.7,1,1,0,0.0,2,0,1,3.0,0.0,3.0,3.0,1.0,0.0,3.0,6.0,12.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,85.4855,0.1363,0.0647,0.093,0.1833,0.35,1,1,1,Positive,,,,,7562697.0
Willian José da Silva,2019/20,1,Real Sociedad,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,90,90.0,1,1,0,4,35,30,85.7,3,4,1,0.25,0,1,0,1.0,0.0,4.0,1.0,0.25,0.0,5.0,0.0,5.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,80.2355,0.084,0.165,-0.175,-0.15,0.1917,1,2,0,Negative,9000000.0,10517479.0,10649254.788870284,8850981.05175878,8070029.0
Ander Barrenetxea Muguruza,2019/20,1,Real Sociedad,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,65,32.5,1,1,0,1,24,20,83.3,2,2,1,0.5,5,0,3,1.3846,0.0,1.3846,1.3846,1.0,0.0,2.7692,6.9231,6.9231,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,82.4001,0.2737,0.0647,0.2335,0.1833,0.3833,2,1,0,Positive,,,,,7567585.0
Alejandro Fernández Iglesias,2019/20,1,Cádiz,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,123,61.5,1,1,0,1,50,33,66.0,1,3,1,0.3333,1,2,0,0.7317,0.0,0.7317,0.7317,1.0,0.0,3.6585,0.7317,2.7805,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,70.9962,0.1683,0.1637,-0.0541,0.35,0.4833,1,2,0,Negative,,,,,7556312.0
Iker Muniain Goñi,2019/20,1,Athletic Club,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,180,90.0,1,1,0,2,96,83,86.5,3,4,0,0.0,3,2,2,0.5,0.0,1.0,0.5,0.5,0.0,3.0,1.5,2.45,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.6505,0.2287,0.0993,0.2197,-0.0806,0.3377,2,1,0,Positive,,,,,7561223.5
Álvaro Negredo Sánchez,2019/20,1,Cádiz,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,87,43.5,1,1,0,2,17,12,70.6,2,10,0,0.0,1,1,1,1.0345,0.0,2.069,1.0345,0.5,0.0,11.3793,1.0345,4.4483,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,74.8779,0.287,0.0647,0.3426,0.35,0.55,2,1,0,Positive,9000000.0,10517479.0,10034114.899438472,8470339.432137167,8060988.0
Álvaro Giménez Candela,2019/20,1,Cádiz,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,61,61.0,1,1,0,1,13,6,46.2,1,5,0,0.0,0,1,1,1.4754,0.0,1.4754,1.4754,1.0,0.0,8.8525,0.0,5.1639,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,68.6314,0.0,0.0707,-0.1338,0.225,0.4333,0,1,2,Negative,9000000.0,10517479.0,9649037.003692368,7652716.398926906,8059399.0
Yannick Ferreira Carrasco,2019/20,1,Atlético Madrid,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,180,90.0,1,1,0,6,72,52,72.2,2,5,1,0.2,18,5,10,0.5,0.0,3.0,0.5,0.1667,0.0,5.0,9.0,5.7,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.2355,0.1257,0.1723,-0.1403,0.0222,0.2528,1,2,0,Negative,9000000.0,10517479.0,10498990.996584397,9393481.940129124,8080591.0
Enes Ünal,2019/20,1,Getafe,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,48,24.0,1,1,0,1,15,12,80.0,2,6,0,0.0,1,0,3,1.875,0.0,1.875,1.875,1.0,0.0,11.25,1.875,7.125,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,81.713,0.233,0.112,0.2752,0.3143,0.4476,2,1,0,Positive,,,,,7571810.5
Luuk de Jong,2019/20,1,Sevilla,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,145,72.5,1,1,0,1,48,41,85.4,3,7,0,0.0,1,0,3,0.6207,0.0,0.6207,0.6207,1.0,0.0,4.3448,0.6207,2.3586,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.1834,0.0,0.1527,-0.266,-0.2333,0.0667,0,2,1,Negative,,,,,7583778.0
Rafael Mir Vicente,2019/20,1,Huesca,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,180,90.0,1,1,0,6,31,24,77.4,2,5,0,0.0,2,0,6,0.5,0.0,3.0,0.5,0.1667,0.0,2.5,1.0,3.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.1955,0.205,0.0647,0.2441,0.0861,0.3294,1,1,1,Positive,9000000.0,10517479.0,9495830.299014429,6902340.374377418,8061481.0
Jaime Mata Arnaiz,2019/20,1,Getafe,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,70,70.0,1,1,0,2,19,13,68.4,1,4,0,0.0,1,0,3,1.2857,0.0,2.5714,1.2857,0.5,0.0,5.1429,1.2857,5.5286,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.8383,0.076,0.0,0.1102,0.1,0.4,1,0,2,Positive,,,,,7561068.0
Luka Modrić,2019/20,1,Real Madrid,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,112,56.0,1,1,0,2,60,50,83.3,2,3,0,0.0,4,1,3,0.8036,0.0,1.6071,0.8036,0.5,0.0,3.2143,3.2143,4.1786,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,78.2833,0.0613,0.1347,-0.0528,0.1917,0.4278,1,1,1,Negative,,,,,7553863.5
Toni Kroos,2019/20,1,Real Madrid,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,161,80.5,1,1,0,5,113,98,86.7,3,8,0,0.0,4,1,4,0.559,0.0,2.795,0.559,0.2,0.0,5.0311,2.236,3.7453,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,78.6535,0.0887,0.1467,-0.0171,-0.019,0.206,1,1,1,Neutral,9000000.0,10517479.0,10786649.729139077,9961562.615708658,8059636.5
Federico Santiago Valverde Dipetta,2019/20,1,Real Madrid,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,128,64.0,1,1,0,3,60,44,73.3,2,7,3,0.4286,3,3,3,0.7031,0.0,2.1094,0.7031,0.3333,0.0,7.0312,2.1094,3.7969,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,74.7108,0.0,0.0993,-0.1756,0.0444,0.2889,0,1,2,Negative,,,,,7551480.0
Gonzalo Julián Melero Manzanares,2019/20,1,Levante UD,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,171,85.5,1,1,0,2,67,59,88.1,3,5,0,0.0,2,5,2,0.5263,0.0,1.0526,0.5263,0.5,0.0,5.2632,1.0526,2.4211,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.087,0.184,0.0833,0.0706,0.0,0.35,2,1,0,Positive,,,,,7557141.5
Sergio León Limones,2019/20,1,Levante UD,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,25,12.5,1,1,0,2,7,5,71.4,2,2,0,0.0,1,0,0,3.6,0.0,7.2,3.6,0.5,0.0,7.2,3.6,15.48,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,91.6655,0.256,0.0853,0.3447,0.3778,0.6417,2,0,1,Positive,9000000.0,42424496.0,46569276.86991871,50438607.85946909,8079527.5
Samuel Chimerenka Chukwueze,2019/20,1,Villarreal,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,161,80.5,1,1,0,1,57,41,71.9,2,3,0,0.0,12,1,2,0.559,0.0,0.559,0.559,1.0,0.0,2.236,6.7081,3.9689,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,74.5489,0.29,0.0357,0.4928,0.0111,0.3988,3,0,0,Positive,9000000.0,10517479.0,10870875.078523211,9289150.036384044,8181265.5
José Luis Morales Nogales,2019/20,1,Levante UD,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,113,56.5,1,1,0,5,44,25,56.8,1,3,0,0.0,4,3,1,0.7965,0.0,3.9823,0.7965,0.2,0.0,4.7788,3.1858,5.3363,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,72.0699,0.0417,0.1067,-0.1409,0.2167,0.35,0,1,2,Negative,,,,,7560206.0
Sergio Ramos García,2019/20,1,Real Madrid,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,90,90.0,1,1,0,4,58,55,94.8,3,2,0,0.0,0,1,2,1.0,0.0,4.0,1.0,0.25,0.0,3.0,0.0,5.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,82.9655,0.0,0.1823,-0.3032,0.1667,0.4833,0,2,1,Negative,9000000.0,10517479.0,9228310.0693113,6588200.907178391,8061518.5
Víctor Ruíz Torre,2019/20,1,Real Betis,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,119,59.5,1,1,0,2,64,51,79.7,2,2,0,0.0,0,2,3,0.7563,0.0,1.5126,0.7563,0.5,0.0,3.0252,0.0,3.0252,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.4733,0.2213,0.0357,0.3416,0.1083,0.4194,3,0,0,Positive,9000000.0,10517479.0,11219557.253768131,10362837.483379249,8061677.5
Borja Iglesias Quintas,2019/20,1,Real Betis,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,81,81.0,1,1,0,2,26,19,73.1,2,4,0,0.0,4,1,1,1.1111,0.0,2.2222,1.1111,0.5,0.0,5.5556,4.4444,5.7778,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.6221,0.076,0.1867,-0.2067,0.2083,0.7315,1,2,0,Negative,,,,,7562056.0
Lorenzo Jesús Morón García,2019/20,1,Real Betis,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,29,14.5,1,1,0,3,5,5,100.0,3,3,0,0.0,0,0,3,3.1034,0.0,9.3103,3.1034,0.3333,0.0,9.3103,0.0,13.9655,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,97.9737,0.0887,0.14,0.0249,0.2643,0.2393,1,1,1,Neutral,,,,,7591271.0
Moriba Kourouma Kourouma,2019/20,1,Barcelona,Midfielder,3,25,12000000.0,16.3004,2,estimated,625,1.0,Prime,0,0,0,1,13,489,37.6154,1,1,2,13,338,311,92.0,3,20,3,0.15,13,8,15,0.184,0.3681,2.3926,0.5521,0.0769,2.0,5.1534,2.3926,3.2025,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,80.0045,0.2667,0.0853,0.2149,0.1278,0.35,2,0,1,Positive,,,,,9914572.0
Karim Benzema,2019/20,1,Real Madrid,Midfielder,3,25,10500000.0,16.1669,2,estimated,625,1.0,Prime,0,0,0,1,2,161,80.5,1,1,1,6,65,61,93.8,3,6,0,0.0,0,1,0,0.559,0.559,3.354,1.118,0.1667,1.0,3.913,0.0,4.472,0,0,0,,0,1.0,0.0,0,76,211,4,37,2.7763,211.0,92.7318,0.0967,0.1357,-0.0845,-0.0767,0.374,16,34,26,Negative,,,,,8611783.0
Héctor Junior Firpo Adames,2019/20,1,Barcelona,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,5,154,30.8,1,1,0,1,123,119,96.7,3,2,0,0.0,3,1,4,0.5844,0.0,0.5844,0.5844,1.0,0.0,1.7532,1.7532,2.5714,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,79.8926,0.0827,0.156,-0.1424,0.2528,0.3833,0,1,2,Negative,,,,,7555515.5
Sergi Roberto Carnicer,2019/20,1,Barcelona,Midfielder,3,25,12000000.0,16.3004,2,estimated,625,1.0,Prime,0,0,0,1,15,946,63.0667,1,1,2,5,887,800,90.2,3,22,4,0.1818,9,8,6,0.0951,0.1903,0.4757,0.2854,0.2,2.0,2.8541,0.8562,1.1607,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.4018,0.0887,0.1467,-0.0171,-0.019,0.206,1,1,1,Neutral,12000000.0,16245692.0,17929256.93428352,16226458.979320424,10489022.0
Clément Lenglet,2019/20,1,Barcelona,Defender,2,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,1,0,0,0,32,2451,76.5938,2,1,0,10,2215,2061,93.0,3,81,11,0.1358,15,34,48,0.0367,0.0,0.3672,0.0367,0.1,0.0,4.2228,0.5508,0.459,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.614,0.0,0.1343,-0.179,-0.025,0.4648,0,2,1,Negative,,,,,7536715.0
José Ignacio Peleteiro Ramallo,2019/20,1,Deportivo Alavés,Midfielder,3,25,7500000.0,15.8304,1,estimated,625,1.0,Prime,0,0,0,1,1,90,90.0,1,0,0,0,20,13,65.0,1,2,0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,66.6108,0.0893,0.0,0.2193,0.2667,0.5667,1,0,2,Positive,,,,,6365327.5
Álvaro Juan Cruz Armada,2019/20,1,Osasuna,Midfielder,3,25,7500000.0,15.8304,1,estimated,625,1.0,Prime,0,0,0,1,1,68,68.0,1,0,0,0,24,19,79.2,2,1,1,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3235,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,70.4208,0.1907,0.1843,-0.0455,0.2944,0.4833,1,1,1,Neutral,7500000.0,11233211.0,11053965.48850231,8990604.171044009,6887756.0
Adrián Marín Gómez,2019/20,1,Deportivo Alavés,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,34,17.0,1,0,1,0,3,2,66.7,1,0,0,0.0,0,1,2,0.0,2.6471,0.0,2.6471,0.0,1.0,2.6471,0.0,5.2941,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,74.9766,0.1497,0.0647,0.2021,0.35,0.5167,1,1,1,Positive,,,,,7554768.0
