Unnamed: 0,Date Created,Number of Likes,Source of Tweet,Tweet,Sentiment,cleaned_text,sentiment,mentioned_players
2364,2022-11-20 18:07:33+00:00,0,Twitter Web App,"In 2013, the famous footballer, Cristiano Ronaldo, refused to exchange shirts with an Israeli player in order to support the Palestinian issue.
#WorldCup2022
#RaisePalestineFlag 🇵🇸
#PalestinianDream",neutral,"In 2013, the famous footballer, Cristiano Ronaldo, refused to exchange shirts with an Israeli player in order to support the Palestinian issue. WorldCup2022 RaisePalestineFlag PalestinianDream",positive,['Cristiano Ronaldo']
2611,2022-11-20 17:53:36+00:00,0,Twitter for iPhone,"BET N•02

#WorldCup2022 🏆

▫️Iran 🇮🇷 vs  Angleterre 🏴󠁧󠁢󠁥󠁮󠁧󠁿 

Harry Kane Buteur  

Cote 2️⃣.0️⃣0️⃣

Mise 50 💶 

Confiance ⭐️ ⭐️ ⭐️

#TeamParieur",neutral,BET N•02 WorldCup2022 Iran vs Angleterre Harry Kane Buteur Cote . Mise 50 Confiance TeamParieur,neutral,['Harry Kane']
2620,2022-11-20 17:52:43+00:00,0,Twitter Web App,"In 2013, the famous footballer, Cristiano Ronaldo, refused to exchange shirts with an Israeli player in order to support the Palestinian issue.
#WorldCup2022
#RaisePalestineFlag 🇵🇸
#PalestinianDream",neutral,"In 2013, the famous footballer, Cristiano Ronaldo, refused to exchange shirts with an Israeli player in order to support the Palestinian issue. WorldCup2022 RaisePalestineFlag PalestinianDream",positive,['Cristiano Ronaldo']
3025,2022-11-20 17:19:46+00:00,0,Twitter for iPhone,Harry Kane did a bedtime story - « are you sitting comfortably? » for the CBBC. #WorldCup2022 and first save for the Qatari keeper. https://t.co/bH9jAIjiov,neutral,Harry Kane did a bedtime story - « are you sitting comfortably? » for the CBBC. WorldCup2022 and first save for the Qatari keeper.,positive,['Harry Kane']
3337,2022-11-20 17:00:37+00:00,26,Twitter for iPhone,"A player has scored a brace in the World Cup opener for the third consecutive World Cup

2014 - Neymar Jr. vs Croatia
2018 - Denis Cheryshev vs Saudi Arabia
2022 - Enner Valencia vs Qatar

#WorldCup #FIFAWorldCup #WorldCup2022 https://t.co/Mkv8EYaJRr",neutral,A player has scored a brace in the World Cup opener for the third consecutive World Cup 2014 - Neymar Jr. vs Croatia 2018 - Denis Cheryshev vs Saudi Arabia 2022 - Enner Valencia vs Qatar WorldCup FIFAWorldCup WorldCup2022,neutral,['Neymar']
5254,2022-11-20 16:31:40+00:00,0,Twitter for Android,"#WorldCupFantasy Team Preview📜
Literally made some changes 1 min before the deadline and ended up getting rid of KDB to upgrade other areas. It's all for fun,the #WorldCup2022 is on,time to enjoy the football. #FIFAWorldCup 
Team Selection👕=🔒
Captain🧢=Messi/Neymar
ITB💰=$0.0m https://t.co/jYaeEzXE8w",positive,"WorldCupFantasy Team Preview Literally made some changes 1 min before the deadline and ended up getting rid of KDB to upgrade other areas. It's all for fun,the WorldCup2022 is on,time to enjoy the football. FIFAWorldCup Team Selection= Captain=Messi/Neymar ITB=$0.0m",positive,['Neymar']
6420,2022-11-20 16:18:44+00:00,20,Twitter Web App,"Someone has just minted the 1/1 Lionel Messi 🤯

SolStars WC #655

Congratulations buyer! 🇦🇷

Mint is still live at @LaunchMyNFT: 

https://t.co/SDLFHpUW77

#WCQatar22 #WorldCup2022 #SolanaNFTs https://t.co/HqNh0mwAum",positive,Someone has just minted the 1/1 Lionel Messi SolStars WC 655 Congratulations buyer! Mint is still live at : WCQatar22 WorldCup2022 SolanaNFTs,positive,['Lionel Messi']
6765,2022-11-20 16:16:15+00:00,0,Twitter Web App,"Cristiano Ronaldo’s mother backs explicit criticism of Man United boss Ten Hag as she applauds post telling to him f**k off

#WorldCup  #WorldCup2022 

https://t.co/yyj35dafBq",neutral,Cristiano Ronaldo’s mother backs explicit criticism of Man United boss Ten Hag as she applauds post telling to him f**k off WorldCup WorldCup2022,positive,['Cristiano Ronaldo']
7425,2022-11-20 16:12:16+00:00,0,Twitter for Android,Hope Neymar lifts the world cup!!!#QatarWorldCup2022 #benderslikeBeckham #WorldCup2022,positive,Hope Neymar lifts the world cup!!!QatarWorldCup2022 benderslikeBeckham WorldCup2022,positive,['Neymar']
9718,2022-11-20 16:08:24+00:00,1,Twitter Web App,"@gcooney93 Hilarious Gavin.
Luckily the @FIFAcom limo got myself, Denis O'Brien, Pat Hickey and Sepp here not a bother. #QatarWorldCup2022 #WorldCup2022 #WorldCup",positive,"Hilarious Gavin. Luckily the limo got myself, Denis O'Brien, Pat Hickey and Sepp here not a bother. QatarWorldCup2022 WorldCup2022 WorldCup",positive,['Gavi']
10331,2022-11-20 16:06:20+00:00,1,Twitter for iPhone,@goal @neymarjr @vinijr @gabimartinelli @tsilva3 @CBF_Futebol Who you got? #Brazil #Neymar #Martinelli #Vinicius #WorldCup #WorldCup2022 https://t.co/DwVs5zMzuO,neutral,Who you got? Brazil Neymar Martinelli Vinicius WorldCup WorldCup2022,neutral,['Neymar']
10565,2022-11-20 16:05:27+00:00,0,Twitter for Android,"So went for Harry Kane ahead of Lautaro just cuz I wanted flexibility as it's MD1&amp;also opted for my man Borna Sosa ahead of my fav in Gvardiol(hoping former starts).Still gone for a player who's a differential&amp;got massively overlooked despite being in a easy group👀
#WorldCup2022 https://t.co/hx64law2wR",neutral,So went for Harry Kane ahead of Lautaro just cuz I wanted flexibility as it's MD1&amp;also opted for my man Borna Sosa ahead of my fav in Gvardiol(hoping former starts).Still gone for a player who's a differential&amp;got massively overlooked despite being in a easy group WorldCup2022,positive,['Harry Kane']
11154,2022-11-20 16:00:50+00:00,0,Twitter Web App,@Libertadores #WorldCup2022 is definitely for England to take home. Harry Kane would surely lead the team to victory. Take note of my guess  @AndiamOfficial #AndiamCup #Qatar2022,positive,WorldCup2022 is definitely for England to take home. Harry Kane would surely lead the team to victory. Take note of my guess AndiamCup Qatar2022,positive,['Harry Kane']
11159,2022-11-20 16:00:48+00:00,2,Twitter for Android,"MD1

🧢  Messi (c), Neymar (c)
🕛🧍‍♂️Mbappe v Australia

Good luck everyone.

#WorldCup2022 #WorldCup #Qatar2022 #Ecuador #Qatar #FPLCommunity #FPL https://t.co/UZOpghi5Hy",positive,"MD1 Messi (c), Neymar (c) Mbappe v Australia Good luck everyone. WorldCup2022 WorldCup Qatar2022 Ecuador Qatar FPLCommunity FPL",positive,['Neymar']
11386,2022-11-20 15:59:00+00:00,0,Twitter Web App,"Cristiano Ronaldo getting World Cup ready 😄
#worldcup #fifaworldcup #fifa #football #WorldCup2022 https://t.co/731RNalJWA",positive,Cristiano Ronaldo getting World Cup ready worldcup fifaworldcup fifa football WorldCup2022,positive,['Cristiano Ronaldo']
11515,2022-11-20 15:57:44+00:00,0,Twitter for Android,"#MD1 #WorldCupFantasy team: 

Captaincy plan:
1️⃣ Messi 
2️⃣ Neymar 

Activated chip/booster:
12th Man- Mbappe 

🌍 1
💰$95.5m 
🪙$0.5m 
#WorldCup2022 https://t.co/MJE3HxYm3T",neutral,MD1 WorldCupFantasy team: Captaincy plan: Messi Neymar Activated chip/booster: 12th Man- Mbappe 1 $95.5m $0.5m WorldCup2022,neutral,['Neymar']
11522,2022-11-20 15:57:39+00:00,6,Twitter for iPhone,"Final team for #WorldCupFantasy

 Cancelo &amp; Skov Olsen dropped last minute to facilitate Eriksen &amp; Musiala

Rest was locked 

Messi/Neymar 🧢 

Good luck all 

#WorldCup #WorldCup2022 https://t.co/hG6MMgCpA3",neutral,Final team for WorldCupFantasy Cancelo &amp; Skov Olsen dropped last minute to facilitate Eriksen &amp; Musiala Rest was locked Messi/Neymar Good luck all WorldCup WorldCup2022,positive,['Neymar']
11714,2022-11-20 15:55:47+00:00,0,Twitter for iPhone,"Who wins the World Cup? -Tough but I’m going with Argentina
Top goal scorer at the World Cup? -Harry Kane
Dark horse at the World Cup?
-Uruguay, very solid squad
#WorldCup2022",positive,"Who wins the World Cup? -Tough but I’m going with Argentina Top goal scorer at the World Cup? -Harry Kane Dark horse at the World Cup? -Uruguay, very solid squad WorldCup2022",positive,['Harry Kane']
12050,2022-11-20 15:51:04+00:00,0,Twitter for iPhone,"FYI countries with super star players in professional leagues don’t fare well in the #WorldCup. For example, see Cristiano Ronaldo and Portugal. Not a snub on him as a player. #WorldCup2022",negative,"FYI countries with super star players in professional leagues don’t fare well in the WorldCup. For example, see Cristiano Ronaldo and Portugal. Not a snub on him as a player. WorldCup2022",positive,['Cristiano Ronaldo']
12196,2022-11-20 15:48:31+00:00,0,Twitter Web App,"No the best player in the world &amp; Ballon d'Or winner, Karim Benzema❌
No the best young player in the world, Erling Haaland ❌
No the best football team in the world right now &amp; the Europe king, Italy ❌

This #WorldCup2022 #WorldCup is not a real World Cup in my book",neutral,"No the best player in the world &amp; Ballon d'Or winner, Karim Benzema No the best young player in the world, Erling Haaland No the best football team in the world right now &amp; the Europe king, Italy This WorldCup2022 WorldCup is not a real World Cup in my book",negative,"['Karim Benzema', 'Erling Haaland']"
12272,2022-11-20 15:47:14+00:00,0,Twitter for iPhone,"#WorldCup2022 prediction:
Winner: Argetina
2nd place: Brazil
Top scorer: Lionel Messi.
Most assists: Neymar. 
Golden Glove: Thibaut Courtois.

🤔",neutral,WorldCup2022 prediction: Winner: Argetina 2nd place: Brazil Top scorer: Lionel Messi. Most assists: Neymar. Golden Glove: Thibaut Courtois.,positive,"['Lionel Messi', 'Neymar', 'Thibaut Courtois']"
12476,2022-11-20 15:43:50+00:00,0,Twitter Web App,"11/20
Footlocks has finally made his return for the 2022 World Cup!
Got some future bets before kickoff

-Neymar Golden Ball +1000
-M'Bappe Golden Boot +750
-Argentina WC Winner +550
-Brazil WC Winner +300
-Argentina over 8.5 tourny goal -125

#WorldCup #soccerbets #WorldCup2022",positive,11/20 Footlocks has finally made his return for the 2022 World Cup! Got some future bets before kickoff -Neymar Golden Ball +1000 -M'Bappe Golden Boot +750 -Argentina WC Winner +550 -Brazil WC Winner +300 -Argentina over 8.5 tourny goal -125 WorldCup soccerbets WorldCup2022,positive,['Neymar']
12557,2022-11-20 15:41:54+00:00,0,Twitter for Android,"Germany to win. 
Belgium to be the dark horse
Harry Kane golden boot
De bruyne golden ball
What's yours?
#WorldCup2022",positive,Germany to win. Belgium to be the dark horse Harry Kane golden boot De bruyne golden ball What's yours? WorldCup2022,positive,['Harry Kane']
12822,2022-11-20 15:37:13+00:00,1,Twitter Web App,I know that Harry Kane has a special armband to wear in ‘protest’ at human rights issues in #Qatar and so hopefully he has one to wear tomorrow to protest against the appalling treatment of women in Iran. #WorldCup2022,neutral,I know that Harry Kane has a special armband to wear in ‘protest’ at human rights issues in Qatar and so hopefully he has one to wear tomorrow to protest against the appalling treatment of women in Iran. WorldCup2022,positive,['Harry Kane']
13111,2022-11-20 15:32:09+00:00,1,Twitter for iPhone,"Probably last World Cup for Neymar, Messi and Ronaldo !! Like always, I am sure this will be cup of surprises ! Truly excited #WorldCup2022 #FIFAWorldCup #QatarWorldCup2022",positive,"Probably last World Cup for Neymar, Messi and Ronaldo !! Like always, I am sure this will be cup of surprises ! Truly excited WorldCup2022 FIFAWorldCup QatarWorldCup2022",positive,['Neymar']
13222,2022-11-20 15:30:25+00:00,2,Twitter for Android,"Wayne Rooney when asked to Start one,bench one and sell one amongst Kane,Messi,Ronaldo
""I'll start Messi, bench Kane and Sell Ronaldo.""
United legends know the value of Cristiano Ronaldo😂😂
#FIFAWorldCup #QatarWorldCup2022 #WorldCup2022 #FIFAWorldCup2022 #",neutral,"Wayne Rooney when asked to Start one,bench one and sell one amongst Kane,Messi,Ronaldo ""I'll start Messi, bench Kane and Sell Ronaldo."" United legends know the value of Cristiano Ronaldo FIFAWorldCup QatarWorldCup2022 WorldCup2022 FIFAWorldCup2022",positive,['Cristiano Ronaldo']
13408,2022-11-20 15:27:51+00:00,0,Twitter for Android,"Time for my WC predictions 
Winners: Brazil 🏆
Dark Horses: Serbia, Spain
POTT: Neymar 
YPOTT: Musiala
Golden Boot: Neymar
Golden Glove: Martinez[ARG]
Major Flops: England,Portugal
Breakthrough star: Gakpo

#WorldCup2022",neutral,"Time for my WC predictions Winners: Brazil Dark Horses: Serbia, Spain POTT: Neymar YPOTT: Musiala Golden Boot: Neymar Golden Glove: Martinez[ARG] Major Flops: England,Portugal Breakthrough star: Gakpo WorldCup2022",positive,['Neymar']
13474,2022-11-20 15:26:53+00:00,0,Twitter for iPhone,"My ⚽️ predictions:
Winner Argentina 🇦🇷 or Brasil 🇧🇷 
Player of tournament - Vinicius Jnr
Young players to look out for 
Pedri &amp; Valverde 
No betting for me but if you’re following me …. #WorldCup2022 https://t.co/HB8rT3lPnK",neutral,My predictions: Winner Argentina or Brasil Player of tournament - Vinicius Jnr Young players to look out for Pedri &amp; Valverde No betting for me but if you’re following me …. WorldCup2022,positive,['Pedri']
14005,2022-11-20 15:19:11+00:00,0,Twitter for iPhone,"Winners - 🇦🇷
Player of the tournament - Messi
Best young player - Musiala
Golden boot - Neymar
Surprise package - 🇺🇾

#WorldCup2022",positive,Winners - Player of the tournament - Messi Best young player - Musiala Golden boot - Neymar Surprise package - WorldCup2022,positive,['Neymar']
14035,2022-11-20 15:18:32+00:00,1,Twitter Web App,"@TheBackpost Simply brilliant. All great references, Ronaldo and Messi, Harry Kane off the top bar, Erik Haaland stuck in his package, and the Neymar dive is absolutely perfect. #WorldCup2022",positive,"Simply brilliant. All great references, Ronaldo and Messi, Harry Kane off the top bar, Erik Haaland stuck in his package, and the Neymar dive is absolutely perfect. WorldCup2022",positive,"['Neymar', 'Harry Kane']"
14066,2022-11-20 15:17:57+00:00,0,Twitter for iPhone,I wish TSN would focus a little more on Alphonso Davies. #WorldCup2022,neutral,I wish TSN would focus a little more on Alphonso Davies. WorldCup2022,positive,['Alphonso Davies']
14093,2022-11-20 15:17:19+00:00,1,Twitter Web App,"In 2013, the famous footballer, Cristiano Ronaldo, refused to exchange shirts with an Israeli player in order to support the Palestinian issue.
#WorldCup2022
#RaisePalestineFlag 🇵🇸
#PalestinianDream",neutral,"In 2013, the famous footballer, Cristiano Ronaldo, refused to exchange shirts with an Israeli player in order to support the Palestinian issue. WorldCup2022 RaisePalestineFlag PalestinianDream",positive,['Cristiano Ronaldo']
14484,2022-11-20 15:09:32+00:00,1,Twitter for iPhone,"..told me he’s not watching the #WorldCup2022 because it’s in Qatar and he only watches “rugby” and “never watches” football unless Harry Kane is playing. 
amazing- you watch rugby! you can keep pretending you’re special than rest of us. 
Look at me I am a sport elite. 🤡 🤣",negative,..told me he’s not watching the WorldCup2022 because it’s in Qatar and he only watches “rugby” and “never watches” football unless Harry Kane is playing. amazing- you watch rugby! you can keep pretending you’re special than rest of us. Look at me I am a sport elite.,positive,['Harry Kane']
14580,2022-11-20 15:07:57+00:00,0,Twitter Web App,"French striker Karim #Benzema is out of the #FIFA #WorldCup in #Qatar with a muscle injury.
#WorldCup2022 #Qatar2022 #QatarWorldCup2022 https://t.co/gQm4eJ8ZcX",neutral,French striker Karim Benzema is out of the FIFA WorldCup in Qatar with a muscle injury. WorldCup2022 Qatar2022 QatarWorldCup2022,negative,['Karim Benzema']
15388,2022-11-20 14:55:59+00:00,8,Twitter for iPhone,This pupil had made a new school @england flag ..... we're now the Harry Kane Junior School @HKane .... please check out this amazing flag..... #WorldCup2022 @FIFAWorldCup https://t.co/dIxZKK0F5d,positive,This pupil had made a new school flag ..... we're now the Harry Kane Junior School .... please check out this amazing flag..... WorldCup2022,positive,['Harry Kane']
16308,2022-11-20 14:33:27+00:00,2,Twitter for iPhone,"Played Soccer “Futball” from ages 4-21. Love Love the sport. Very excited for #WorldCup2022 Ronaldo, Messi, Neymar and a host of others. Let’s GO!",positive,"Played Soccer “Futball” from ages 4-21. Love Love the sport. Very excited for WorldCup2022 Ronaldo, Messi, Neymar and a host of others. Let’s GO!",positive,['Neymar']
16327,2022-11-20 14:32:03+00:00,0,Twitter for iPhone,"Fifa fantasy game.
Most selected players as of now. 

Top players in each position
Fw: Messi 63%
Mf: De Bruyne 45%
Def: Cancelo 46%
Gk: Alisson 20%

Top forwards
Messi 63%
Mbappe 36%
Neymar 36% 
Kane 21%
Ronaldo 12%

@FIFAWorldCup #WorldCup #WorldCup2022 

https://t.co/4hFkHX344P",neutral,Fifa fantasy game. Most selected players as of now. Top players in each position Fw: Messi 63% Mf: De Bruyne 45% Def: Cancelo 46% Gk: Alisson 20% Top forwards Messi 63% Mbappe 36% Neymar 36% Kane 21% Ronaldo 12% WorldCup WorldCup2022,positive,['Neymar']
16457,2022-11-20 14:23:28+00:00,343,Twitter for iPhone,"Cristiano Ronaldo 🆚 Lionel Messi 
Portugal 🆚 Argentina

The dream FIFA World Cup final we are all hoping for! 🇦🇷🇵🇹🤞

#FIFAWorldCup #POR #ARG #WorldCup2022 https://t.co/8P2O9DnKyo",positive,Cristiano Ronaldo Lionel Messi Portugal Argentina The dream FIFA World Cup final we are all hoping for! FIFAWorldCup POR ARG WorldCup2022,positive,"['Lionel Messi', 'Cristiano Ronaldo']"
16461,2022-11-20 14:23:09+00:00,6,Twitter for iPhone,"Cristiano Ronaldo 🆚 Lionel Messi 
Portugal 🆚 Argentina

The dream FIFA World Cup final we are all hoping for! 🇦🇷🇵🇹🤞

#FIFAWorldCup #POR #ARG #WorldCup2022 https://t.co/RWo1SB4dcj",positive,Cristiano Ronaldo Lionel Messi Portugal Argentina The dream FIFA World Cup final we are all hoping for! FIFAWorldCup POR ARG WorldCup2022,positive,"['Lionel Messi', 'Cristiano Ronaldo']"
16472,2022-11-20 14:21:48+00:00,0,Twitter Web App,"#WorldCup2022 predictions 

Winner: Brazil 
Golden Boot: Harry Kane 
Golden Ball: Messi 
Young Player: Musiala 
Dark Horses: Uruguay 
Disappointing Team: England",neutral,WorldCup2022 predictions Winner: Brazil Golden Boot: Harry Kane Golden Ball: Messi Young Player: Musiala Dark Horses: Uruguay Disappointing Team: England,positive,['Harry Kane']
