player_name,market_value,shots,goals,passes,total_minutes,sentiment_score,sentiment_label,total_days_out,games_missed,goal_conversion_rate,minutes_per_goal,performance_index,injury_risk_score
fredy hinestroza arias,1.4,2,0,37,194,0,neutral,0,0,0,194,11.7,0
frenkie de jong,360,3,1,1363,4556,0,neutral,373,69,0.333333333,4556,410.2,0.081852096
fábio henrique tavares,104,1,0,23,94,0,neutral,0,0,0,94,7.2,0
gabriel armando de abreu,5.6,5,0,388,1229,0,neutral,0,0,0,1229,117.9,0
gabriel iván mercado,1.2,2,1,43,183,0,neutral,0,0,0.5,183,13.9,0
gaku shibasaki,2.8,1,0,6,62,0,neutral,0,0,0,62,2.1,0
garry mendes rodrigues,2.6,4,0,44,285,0,neutral,0,0,0,285,14.4,0
gaël kakuta,2.8,2,0,76,370,0,neutral,154,21,0,370,23.4,0.41509434
geoffrey kondogbia,40,1,0,84,331,0,neutral,244,34,0,331,25.5,0.734939759
georginio wijnaldum,20,19,2,495,1984,0,neutral,232,48,0.105263158,992,155,0.116876574
gerard deulofeu lázaro,4,4,2,241,969,0,neutral,0,0,0.5,484.5,74.3,0
gerard moreno balaguero,22.4,7,1,151,766,0,neutral,0,0,0.142857143,766,47.8,0
giovani lo celso,120,6,1,74,317,0,neutral,456,85,0.166666667,317,24.4,1.433962264
gonzalo escalante,4,8,0,171,762,0,neutral,159,27,0,762,53.7,0.208387942
guangtai jiang,5.2,1,0,53,151,0,neutral,0,0,0,151,16.2,0
guido marcelo carrillo,2.8,1,0,13,69,0,neutral,0,0,0,69,4.2,0
guilherme antonio arana lopes,56,1,0,49,147,0,neutral,0,0,0,147,15,0
harry kane,520,59,10,359,2002,0.180004,positive,65,12,0.169491525,200.2,129.4,0.032451323
hernâni jorge santos fortes,1.6,2,0,12,47,0,neutral,0,0,0,47,4.2,0
heung-min son,136,17,2,163,801,0.189538202,positive,181,41,0.117647059,400.5,54.8,0.225685786
hugo mallo novegil,4,5,0,375,1293,0,neutral,0,0,0,1293,114,0
héctor bellerín moruno,20,5,0,557,1731,0,neutral,0,0,0,1731,168.6,0
héctor junior firpo adames,48,5,1,796,2518,0,neutral,0,0,0.2,2518,240.7,0
héctor miguel herrera lópez,7.2,1,0,56,198,0,neutral,0,0,0,198,17.1,0
hélder filipe oliveira lopes,1.6,2,0,92,319,0,neutral,0,0,0,319,28.2,0
iago aspas juncal,14.4,15,3,161,772,0,neutral,0,0,0.2,257.3333333,54,0
iddrisu baba mohammed,8,1,0,45,185,0,neutral,0,0,0,185,13.8,0
idrissa gana gueye,8,5,0,548,2071,0.176136207,positive,0,0,0,2071,165.9,0
ivan ricardo neves abreu cavaleiro,4,2,0,38,209,0,neutral,0,0,0,209,12,0
iván lópez álvarez,6.4,1,0,16,94,0,neutral,0,0,0,94,5.1,0
iñaki williams arthuer,80,14,0,112,682,0,neutral,0,0,0,682,37.8,0
jack grealish,200,7,0,125,589,0.128382167,positive,154,32,0,589,39.6,0.261016949
jaime mata arnaiz,80,2,1,41,275,0,neutral,0,0,0.5,275,13.3,0
jamaal lascelles,16,2,1,165,506,0.25912233,positive,682,92,0.5,506,50.5,1.345167653
james david rodríguez rubio,16,11,1,92,372,0,neutral,0,0,0.090909091,372,31.3,0
james mcclean,80,14,1,237,1081,0,neutral,0,0,0.071428571,1081,75.7,0
james philip milner,6,18,2,766,2837,0,neutral,0,0,0.111111111,1418.5,236,0
james ward-prowse,48,9,0,257,838,0.157784148,positive,15,3,0,838,79.8,0.017878427
jamie vardy,8,32,5,241,1490,0.137403506,positive,148,28,0.15625,298,83.9,0.09926224
javier hernández balcázar,2,2,0,23,131,0,neutral,0,0,0,131,7.5,0
javier martínez aginaga,5.6,2,0,46,139,0,neutral,0,0,0,139,14.4,0
javier ontiveros parra,14.4,1,0,32,129,0,neutral,0,0,0,129,9.9,0
javier sánchez de felipe,6.4,1,0,28,91,0,neutral,0,0,0,91,8.7,0
jay rodriguez,2.4,1,0,17,111,0,neutral,0,0,0,111,5.4,0
jean-sylvain claude babin,40,3,0,75,248,0,neutral,0,0,0,248,23.4,0
jefferson andrés lerma solís,64,4,0,49,241,0,neutral,0,0,0,241,15.9,0
jeffrey schlupp,16,2,0,162,578,0.153771654,positive,86,14,0,578,49.2,0.148531952
jeremie boga,64,1,0,6,37,0,neutral,0,0,0,37,2.1,0
jesse lingard,17.6,6,2,135,623,0.145396488,positive,113,32,0.333333333,311.5,43.1,0.181089744
jesé rodríguez ruiz,2.4,4,0,64,307,0,neutral,0,0,0,307,20.4,0
joan jordán moreno,16,3,0,212,727,0,neutral,0,0,0,727,64.5,0
joan sastre vanrell,8,1,0,58,235,0,neutral,0,0,0,235,17.7,0
joaquín fernández moreno,8,1,0,102,349,0,neutral,0,0,0,349,30.9,0
joaquín oscar larrivey,8,7,1,52,271,0,neutral,0,0,0.142857143,271,18.1,0
joe gomez,120,1,0,221,682,0,neutral,430,94,0,682,66.6,0.629575403
joel nathaniel campbell samuels,3,7,2,89,419,0,neutral,0,0,0.285714286,209.5,29.6,0
joel ward,2.4,9,1,543,1687,0.097133333,positive,156,23,0.111111111,1687,166,0.092417062
john guidetti,2,3,2,48,275,0,neutral,0,0,0.666666667,137.5,16.1,0
john stones,144,3,0,541,1660,0.159154333,positive,281,62,0,1660,163.2,0.169175196
jon moncayola tollar,56,3,0,16,97,0,neutral,0,0,0,97,5.7,0
jonathan calleri,12,1,0,21,142,0,neutral,48,5,0,142,6.6,0.335664336
jonathan castro otto,20,1,0,213,770,0,neutral,0,0,0,770,64.2,0
jonathan howson,40,7,1,369,1473,0,neutral,0,0,0.142857143,1473,113.2,0
jonathan javier rodríguez portillo,16,3,0,11,80,0,neutral,0,0,0,80,4.2,0
jonathan viera ramos,3.2,10,1,204,846,0,neutral,0,0,0.1,846,64.6,0
jonathan dos santos ramírez,2.8,3,0,123,551,0,neutral,0,0,0,551,37.8,0
jordan ayew,14.4,25,3,294,1718,0.130437645,positive,11,1,0.12,572.6666667,96.9,0.006399069
jordan brian henderson,16,9,0,404,1357,0,neutral,0,0,0,1357,123.9,0
jordan veretout,28,6,0,225,788,0,neutral,116,26,0,788,69.3,0.147021546
jordi amat maas,4.8,2,0,90,298,0,neutral,0,0,0,298,27.6,0
jordon ibe,80,10,1,184,845,0,neutral,0,0,0.1,845,58.6,0
jordy clasie,9.6,5,0,248,794,0,neutral,0,0,0,794,75.9,0
jorge resurrección merodio,56,9,1,643,2380,0,neutral,0,0,0.111111111,2380,196,0
josep señé escudero,1.2,1,0,39,193,0,neutral,0,0,0,193,12,0
josh onomah,2.4,1,0,17,61,0,neutral,92,12,0,61,5.4,1.483870968
joshua king,12,18,2,131,1021,0,neutral,44,9,0.111111111,510.5,45.5,0.043052838
josé antonio caro martínez,1.2,2,0,33,99,0,neutral,0,0,0,99,10.5,0
josé antonio delgado villar,60,3,0,98,407,0,neutral,0,0,0,407,30.3,0
josé antonio rodríguez díaz,6.4,2,0,25,169,0,neutral,0,0,0,169,8.1,0
josé ernesto sosa,60,1,0,27,140,0,neutral,0,0,0,140,8.4,0
josé ignacio fernández iglesias,14.4,1,0,85,248,0,neutral,0,0,0,248,25.8,0
josé ignacio martínez garcía,80,4,0,177,584,0,neutral,0,0,0,584,54.3,0
josé luis gayà peña,40,2,0,186,660,0,neutral,0,0,0,660,56.4,0
josé luis morales nogales,3.2,8,0,136,715,0,neutral,0,0,0,715,43.2,0
josé manuel arnáiz díaz,7.2,2,1,13,92,0,neutral,0,0,0.5,92,4.9,0
josé maría giménez de vargas,112,4,0,82,347,0,neutral,0,0,0,347,25.8,0
josé miguel da rocha fonte,80,8,0,514,1565,0,neutral,0,0,0,1565,156.6,0
josé rodríguez martínez,2,1,0,25,97,0,neutral,0,0,0,97,7.8,0
josé salomón rondón giménez,3.2,29,4,200,1374,0,neutral,0,0,0.137931034,343.5,70.3,0
josé ángel pozo la rosa,3.2,1,0,17,83,0,neutral,0,0,0,83,5.4,0
joão félix sequeira,200,3,0,22,128,0,neutral,0,0,0,128,7.5,0
juan camilo hernández suárez,144,4,1,42,211,0,neutral,0,0,0.25,211,14.2,0
juan carlos paredes reasco,8,1,0,155,488,0,neutral,0,0,0,488,46.8,0
juan carlos pérez lópez,1.6,3,0,138,500,0,neutral,0,0,0,500,42.3,0
juan guillermo cuadrado bello,8,1,0,14,68,0,neutral,0,0,0,68,4.5,0
juan manuel iturbe arévalo,3.6,1,0,10,63,0,neutral,0,0,0,63,3.3,0
juan manuel mata garcía,3,22,2,551,1998,0,neutral,0,0,0.090909091,999,172.7,0
juan miguel jiménez lópez,9.6,6,2,80,466,0,neutral,0,0,0.333333333,233,26.6,0
juan pablo añor acosta,3.2,5,1,75,452,0,neutral,0,0,0.2,452,24.4,0
juan pedro ramírez lópez,4,1,0,72,244,0,neutral,0,0,0,244,21.9,0
jules koundé,520,1,0,40,125,0,neutral,112,24,0,125,12.3,0.888888889
karim benzema,48,39,5,411,1867,0,neutral,96,20,0.128205128,373.4,137,0.051391863
kelechi promise iheanacho,30.4,1,0,27,121,0,neutral,0,0,0,121,8.4,0
kevin de bruyne,120,14,4,395,1433,0.181071667,positive,330,79,0.285714286,358.25,124.3,0.230125523
kevin mbabu,24,1,0,53,207,0,neutral,135,24,0,207,16.2,0.649038462
kevin toner,1.2,2,0,112,354,0,neutral,0,0,0,354,34.2,0
kevin wimmer,3.2,1,0,276,779,0,neutral,0,0,0,779,83.1,0
kieran trippier,20,2,1,286,763,0.150665731,positive,346,64,0.5,763,86.8,0.452879581
kurt happy zouma,32,8,0,370,1140,0,neutral,0,0,0,1140,113.4,0
kyle naughton,40,2,0,610,1828,0,neutral,0,0,0,1828,183.6,0
kyle walker,20,8,0,615,1857,0.096542667,positive,170,35,0,1857,186.9,0.091496233
leandro bacuna,2,9,0,451,1522,0,neutral,0,0,0,1522,138,0
leandro daniel cabrera sasía,8,1,0,72,213,0,neutral,0,0,0,213,21.9,0
