player_name,season,season_encoded,team,position,position_encoded,current_age,market_value_eur,log_market_value,market_value_tier_encoded,market_value_source,age_squared,age_decay_factor,career_stage,pos_Defender,pos_Forward,pos_Goalkeeper,pos_Midfielder,matches,minutes_played,minutes_per_match,minutes_played_tier_encoded,goals,assists,shots,passes_total,passes_complete,pass_accuracy_pct,pass_accuracy_tier_encoded,tackles_total,tackles_won,tackle_success_rate,dribbles,interceptions,fouls_committed,goals_per90,assists_per90,shots_per90,goal_contributions_per90,shot_conversion_rate,assist_to_goal_ratio,defensive_actions_per90,dribbles_per90,attacking_output_index,total_injuries,total_days_injured,total_matches_missed,most_common_injury,injury_burden_index,availability_rate,injury_frequency,total_injuries_tier_encoded,total_tweets,total_likes,positive_tweets,negative_tweets,tweet_engagement_rate,social_buzz_score,transfer_attractiveness_score,vader_positive_score,vader_negative_score,vader_compound_score,tb_polarity,tb_subjectivity,positive_count,negative_count,neutral_count,sentiment_label,performance_index,injury_impact,overall_sentiment,popularity_index,xgb_pred,lstm_pred,final_pred
Kamil Tadic,2023/24,5,Manchester United,Forward,4,29,55876393,17.8387,3,original,841,0.8187,Experienced,0,1,0,0,35,1575,45.0,2,20,2,169,386,326,84.5,2,14,7,0.5,128,13,18,1.1429,0.1143,9.6571,1.2571,0.1183,0.1,1.5429,7.3143,10.68,2,92,7,Muscle strain,184,0.8333,0.4,1,3,2217,2,0,739.0,2217,198.064,0.062,0.1132,-0.1065,0.1792,0.3042,0,1,3,Negative,3.9790666666666654,92.08335,0.03635,4437,56967488.0,61345284.63944372,59594166.78366623
Luka Savic,2023/24,5,Vitoria,Midfielder,3,29,87119592,18.2828,4,original,841,0.8187,Experienced,0,0,0,1,20,1660,83.0,2,2,4,18,1818,1614,88.8,3,8,4,0.5,136,28,8,0.1084,0.2169,0.9759,0.3253,0.1111,2.0,1.9518,7.3735,3.459,2,81,3,Achilles tendon injury,162,0.8696,0.4,1,3,4701,2,0,1567.0,4701,313.792,0.125,0.157,-0.0742,0.2521,0.3812,1,2,1,Negative,1.2614333333333334,81.0652,0.08895,9405,83419088.0,85866882.60560256,84887765.56336153
Bartosz Meyer,2023/24,5,Inter Milan,Forward,4,29,121974931,18.6193,4,original,841,0.8187,Experienced,0,1,0,0,35,2205,63.0,2,20,4,110,2853,2085,73.1,2,6,3,0.5,142,18,7,0.8163,0.1633,4.4898,0.9796,0.1818,0.2,0.9796,5.7959,6.7592,3,83,5,Knee ligament injury,249,0.875,0.6,1,2,765,2,0,382.5,765,115.9324,0.046,0.2017,-0.1739,0.175,0.4944,1,3,0,Negative,2.5796,124.5625,0.0005499999999999,1532,116358728.0,126387606.80675696,122376056.0840542
Bukayo Rodrigues,2023/24,5,Atletico Madrid,Defender,2,29,34580159,17.3588,3,original,841,0.8187,Experienced,1,0,0,0,1,81,81.0,1,0,0,3,1608,1083,67.4,1,120,79,0.6583,131,18,10,0.0,0.0,3.3333,0.0,0.0,0.0,153.3333,145.5556,45.3333,1,8,0,Fracture,8,1.0,0.2,1,1,1831,1,0,1831.0,1831,227.4876,0.1907,0.165,0.0061,-0.0389,0.1833,1,1,1,Neutral,15.1111,4.0,-0.0163999999999999,3663,7869203.5,36420288.94234407,24999854.86540644
Ivan Zielinski,2023/24,5,Tottenham,Defender,2,29,37083689,17.4287,3,original,841,0.8187,Experienced,1,0,0,0,15,1260,84.0,2,4,3,14,2948,2594,88.0,3,114,48,0.4211,192,70,29,0.2857,0.2143,1.0,0.5,0.2857,0.75,13.1429,13.7143,5.9,3,93,8,Thigh muscle strain,279,0.6522,0.6,1,2,9131,0,0,4565.5,9131,533.9182,0.076,0.0547,0.0298,0.1417,0.6315,1,1,1,Neutral,2.1333333333333333,139.6739,0.0857499999999999,18264,31456984.0,35544010.931027405,33909200.558616444
Harry Christensen,2023/24,5,Rangers,Defender,2,29,209194731,19.1588,4,original,841,0.8187,Experienced,1,0,0,0,36,1764,49.0,2,9,2,46,1008,860,85.4,3,67,52,0.7761,91,16,42,0.4592,0.102,2.3469,0.5612,0.1957,0.2222,4.2347,4.6429,4.148,1,46,3,Cartilage damage,46,0.9231,0.2,1,3,11547,1,0,3849.0,11547,660.1249,0.1447,0.138,0.028,-0.0556,0.5608,1,2,0,Neutral,1.5697333333333334,23.03845,-0.0137999999999999,23097,173608368.0,218168614.76661444,200344520.85996863
Raheem Lewandowski,2023/24,5,Rangers,Defender,2,29,40945591,17.5278,3,original,841,0.8187,Experienced,1,0,0,0,16,816,51.0,1,4,1,21,2190,1660,75.8,2,83,55,0.6627,177,74,9,0.4412,0.1103,2.3162,0.5515,0.1905,0.25,17.3162,19.5221,8.5588,0,0,0,,0,1.0,0.0,0,4,14925,3,0,3731.25,14925,831.8837,0.1162,0.1034,-0.0323,0.1633,0.2767,2,2,1,Neutral,3.036766666666667,0.0,0.0655,29854,56712720.0,42451939.05799502,48156251.43479701
Nicolo Tadic,2023/24,5,Feyenoord,Forward,4,29,42664151,17.5689,3,original,841,0.8187,Experienced,0,1,0,0,37,2516,68.0,3,25,10,152,219,155,71.0,2,105,51,0.4857,189,55,17,0.8943,0.3577,5.4372,1.252,0.1645,0.4,5.7234,6.7607,8.1451,1,30,3,Back injury,30,0.925,0.2,1,3,10418,0,1,3472.6667,10418,602.1803,0.0603,0.2183,-0.2478,0.3917,0.7148,0,3,0,Negative,3.1323666666666665,15.0375,0.07195,20839,49022924.0,42073060.79894661,44853006.47936797
Hugo Keita,2023/24,5,Juventus,Defender,2,29,85528666,18.2644,4,original,841,0.8187,Experienced,1,0,0,0,9,792,88.0,1,5,3,37,1669,1453,87.1,3,67,41,0.6119,44,77,5,0.5682,0.3409,4.2045,0.9091,0.1351,0.6,16.3636,5.0,5.9886,3,94,5,Ankle sprain,282,0.6429,0.6,1,5,19250,2,0,3850.0,19250,1041.356,0.1884,0.0534,0.229,-0.0433,0.1643,3,1,1,Positive,2.299233333333333,141.17855,0.09285,38505,83541088.0,78171302.00197205,80319217.20118323
Adrien Zielinski,2023/24,5,PSG,Defender,2,29,83121132,18.2358,4,original,841,0.8187,Experienced,1,0,0,0,9,711,79.0,1,3,2,34,513,438,85.5,3,119,48,0.4034,129,80,1,0.3797,0.2532,4.3038,0.6329,0.0882,0.6667,25.1899,16.3291,8.6962,0,0,0,,0,1.0,0.0,0,2,7069,2,0,3534.5,7069,443.6159,0.1895,0.1455,-0.015,-0.1704,0.3483,2,2,0,Neutral,3.1097,0.0,-0.0927,14140,91609296.0,84952126.60353608,87614995.96212165
Gabriel Jones,2023/24,5,Galatasaray,Forward,4,29,20661003,16.8438,2,original,841,0.8187,Experienced,0,1,0,0,38,2660,70.0,3,24,18,96,2459,1699,69.1,1,119,95,0.7983,120,19,23,0.812,0.609,3.2481,1.4211,0.25,0.75,4.6692,4.0602,6.4962,1,52,4,Knee injury,52,0.9048,0.2,1,2,3956,1,0,1978.0,3956,274.4857,0.076,0.0927,-0.0233,0.2167,0.2667,1,1,1,Neutral,2.639066666666667,26.0476,0.0967,7914,26968500.0,18781301.71740622,22056181.03044373
Rodrygo Piotrowski,2023/24,5,Inter Milan,Forward,4,29,99715270,18.4178,4,original,841,0.8187,Experienced,0,1,0,0,15,1230,82.0,2,11,4,51,2252,1754,77.9,2,55,30,0.5455,2,30,54,0.8049,0.2927,3.7317,1.0976,0.2157,0.3636,6.2195,0.1463,4.9098,1,41,6,Muscle strain,41,0.7143,0.2,1,5,16785,4,0,3357.0,16785,918.3917,0.0443,0.1942,-0.1953,-0.0412,0.2288,1,4,1,Negative,2.0024666666666664,20.64285,-0.11825,33575,79298160.0,101997599.24755342,92917823.54853204
Matteo Hansen,2023/24,5,Besiktas,Defender,2,29,20773023,16.8492,2,original,841,0.8187,Experienced,1,0,0,0,11,847,77.0,1,2,3,10,2519,2347,93.2,3,89,66,0.7416,37,61,60,0.2125,0.3188,1.0626,0.5313,0.2,1.5,15.9386,3.9315,2.9858,0,0,0,,0,1.0,0.0,0,1,3882,1,0,3882.0,3882,275.2371,0.0,0.2117,-0.3352,0.0,0.3333,0,2,1,Negative,1.1723666666666666,0.0,-0.1676,7765,29204106.0,20850846.42689607,24192150.85613764
Davide Weber,2023/24,5,Lens,Defender,2,29,76823481,18.157,4,original,841,0.8187,Experienced,1,0,0,0,3,177,59.0,1,1,0,7,1713,1168,68.2,1,90,43,0.4778,92,49,30,0.5085,0.0,3.5593,0.5085,0.1429,0.0,70.678,46.7797,17.339,0,0,0,,0,1.0,0.0,0,4,10833,2,0,2708.25,10833,639.4325,0.0,0.139,-0.2452,0.2083,0.4167,0,2,2,Negative,5.949166666666667,0.0,-0.0184499999999999,21670,63322532.0,79178680.80353339,72836222.48212004
Raphinha Zielinski,2023/24,5,Atalanta,Defender,2,29,60900909,17.9248,4,original,841,0.8187,Experienced,1,0,0,0,3,141,47.0,1,2,1,14,2795,2487,89.0,3,111,77,0.6937,148,69,36,1.2766,0.6383,8.9362,1.9149,0.1429,0.5,114.8936,94.4681,37.9149,2,75,5,Calf muscle strain,150,0.375,0.4,1,5,11389,3,0,2277.8,11389,696.7469,0.0,0.114,-0.2003,0.0667,0.2433,0,3,2,Negative,13.276600000000002,75.3125,-0.0668,22783,58025308.0,57603084.59674954,57771974.75804972
Marcus Szymanski,2023/24,5,Tottenham,Forward,4,29,68777009,18.0464,4,original,841,0.8187,Experienced,0,1,0,0,25,2150,86.0,2,12,5,94,518,404,78.1,2,53,41,0.7736,57,66,25,0.5023,0.2093,3.9349,0.7116,0.1277,0.4167,4.9814,2.386,4.6088,2,70,6,Calf muscle strain,140,0.8065,0.4,1,1,2393,0,0,2393.0,2393,196.1183,0.256,0.0853,0.3447,0.3778,0.6417,2,0,1,Positive,1.7734666666666663,70.09675,0.36125,4787,65386356.0,67617592.98236257,66725097.78941754
Ivan Schneider,2023/24,5,Lens,Forward,4,29,11893993,16.2915,2,original,841,0.8187,Experienced,0,1,0,0,23,1748,76.0,2,15,9,53,769,579,75.4,2,34,14,0.4118,164,35,13,0.7723,0.4634,2.7288,1.2357,0.283,0.6,3.5526,8.4439,7.1413,0,0,0,,0,1.0,0.0,0,1,3372,1,0,3372.0,3372,249.515,0.3087,0.1327,0.2903,0.1754,0.356,2,0,1,Positive,2.7923333333333336,0.0,0.23285,6745,26372522.0,10933145.935907127,17108896.561544277
Ola Pedersen,2023/24,5,Chelsea,Defender,2,29,36795338,17.4209,3,original,841,0.8187,Experienced,1,0,0,0,12,660,55.0,1,5,4,41,2907,1979,68.1,1,108,57,0.5278,29,61,43,0.6818,0.5455,5.5909,1.2273,0.122,0.8,23.0455,3.9545,7.1182,0,0,0,,0,1.0,0.0,0,2,1084,2,0,542.0,1084,135.149,0.0,0.18,-0.3055,0.2396,0.5903,0,3,1,Negative,2.781833333333333,0.0,-0.0329499999999999,2170,40765288.0,39030078.1703608,39724161.90221648
Federico Larsen,2023/24,5,Celtic,Forward,4,29,79081689,18.186,4,original,841,0.8187,Experienced,0,1,0,0,24,1968,82.0,2,17,11,122,992,697,70.3,2,27,21,0.7778,19,23,11,0.7774,0.503,5.5793,1.2805,0.1393,0.6471,2.2866,0.8689,6.3887,0,0,0,,0,1.0,0.0,0,5,11488,2,0,2297.6,11488,656.4451,0.0,0.1414,-0.2657,0.035,0.16,0,3,2,Negative,2.556366666666667,0.0,-0.11535,22981,60625456.0,79703716.56246647,72072411.93747988
Hugo Oliveira,2023/24,5,Porto,Forward,4,29,37723987,17.4458,3,original,841,0.8187,Experienced,0,1,0,0,31,1798,58.0,2,18,5,150,291,199,68.5,1,21,13,0.619,41,17,40,0.901,0.2503,7.5083,1.1513,0.12,0.2778,1.9021,2.0523,7.5734,0,0,0,,0,1.0,0.0,0,4,13314,2,1,3328.5,13314,747.5017,0.175,0.1345,0.1374,0.2128,0.464,2,1,1,Positive,2.908233333333333,0.0,0.1750999999999999,26632,24764926.0,39336116.22002786,33507640.732016712
Benjamin Sanchez,2023/24,5,AC Milan,Defender,2,29,66808901,18.0173,4,original,841,0.8187,Experienced,1,0,0,0,25,1775,71.0,2,10,8,30,1229,824,67.1,1,116,82,0.7069,113,28,58,0.507,0.4056,1.5211,0.9127,0.3333,0.8,7.3014,5.7296,4.8118,1,34,4,Hip flexor strain,34,0.8621,0.2,1,4,12734,2,0,3183.5,12734,712.3928,0.2115,0.1705,-0.0072,0.0796,0.5983,2,2,0,Neutral,1.9081333333333328,17.06895,0.0362,25472,69160560.0,63813338.802038684,65952227.28122321
Alessandro Thomas,2023/24,5,PSG,Midfielder,3,29,64971855,17.9895,4,original,841,0.8187,Experienced,0,0,0,1,11,693,63.0,1,4,1,16,1035,894,86.4,3,9,4,0.4444,115,13,39,0.5195,0.1299,2.0779,0.6494,0.25,0.25,2.8571,14.9351,7.3377,3,70,11,Cartilage damage,210,0.5,0.6,1,3,1503,0,1,501.0,1503,154.5554,0.1973,0.0833,0.1797,0.1667,0.5167,2,1,0,Positive,2.6623666666666668,105.25,0.1732,3009,62303624.0,61730519.18308392,61959761.50985035
Kamil Bernard,2023/24,5,Atletico Madrid,Forward,4,29,58754344,17.8889,3,original,841,0.8187,Experienced,0,1,0,0,20,1260,63.0,2,14,8,106,1583,1190,75.2,2,92,73,0.7935,87,62,22,1.0,0.5714,7.5714,1.5714,0.1321,0.5714,11.0,6.2143,9.7929,2,33,4,Ankle sprain,66,0.8333,0.4,1,1,566,0,0,566.0,566,111.4937,0.0603,0.0647,-0.0172,0.2944,0.4056,0,1,2,Neutral,3.7881,33.08335,0.1386,1133,52889776.0,59419574.380995154,56807654.62859709
Bartosz Bianchi,2023/24,5,Bayern Munich,Defender,2,29,2006147,14.5117,1,original,841,0.8187,Experienced,1,0,0,0,11,770,70.0,1,0,1,2,1065,912,85.7,3,80,48,0.6,31,46,45,0.0,0.1169,0.2338,0.1169,0.0,1.0,14.7273,3.6234,1.4377,3,78,3,Calf muscle strain,234,0.7857,0.6,1,3,6732,3,0,2244.0,6732,401.4185,0.1608,0.0792,0.2529,0.6,0.8,3,1,1,Positive,0.5182,117.10715,0.42645,13467,6582479.0,2019165.4556599853,3844491.023395991
Declan Pavlovic,2023/24,5,Rangers,Midfielder,3,29,68172197,18.0375,4,original,841,0.8187,Experienced,0,0,0,1,3,207,69.0,1,2,1,23,399,322,80.8,2,11,7,0.6364,167,2,3,0.8696,0.4348,10.0,1.3043,0.087,0.5,5.6522,72.6087,30.2609,1,35,6,Muscle strain,35,0.3333,0.2,1,2,3006,1,1,1503.0,3006,265.6731,0.076,0.0,0.1102,0.1,0.4,1,0,2,Positive,10.521766666666666,17.83335,0.1051,6014,56126656.0,71309989.89229469,65236655.935376815
Martin Santos,2023/24,5,Moreirense,Midfielder,3,29,73948055,18.1189,4,original,841,0.8187,Experienced,0,0,0,1,8,568,71.0,1,3,3,17,1235,946,76.6,2,24,11,0.4583,175,80,0,0.4754,0.4754,2.6937,0.9507,0.1765,1.0,16.4789,27.7289,12.0423,1,46,6,Virus,46,0.5714,0.2,1,4,15262,0,1,3815.5,15262,851.2383,0.057,0.1783,-0.2338,-0.035,0.711,1,3,0,Negative,4.331033333333333,23.2143,-0.1344,30528,80044448.0,75074211.61469911,77062306.96881947
Elias Maksimovic,2023/24,5,Marseille,Midfielder,3,29,89518608,18.31,4,original,841,0.8187,Experienced,0,0,0,1,27,2349,87.0,2,3,10,25,2750,2233,81.2,2,22,12,0.5455,26,65,46,0.1149,0.3831,0.9579,0.4981,0.12,3.3333,3.3333,0.9962,1.8889,0,0,0,,0,1.0,0.0,0,3,6196,0,1,2065.3333,6196,388.6132,0.0613,0.1437,-0.0734,-0.1,0.3593,1,2,0,Negative,0.7956333333333333,0.0,-0.0867,12395,96700856.0,91868059.70288566,93801179.8217314
Andrea Martin,2023/24,5,Besiktas,Midfielder,3,29,12907360,16.3733,2,original,841,0.8187,Experienced,0,0,0,1,8,504,63.0,1,0,0,3,2694,1804,67.0,1,38,27,0.7105,51,45,45,0.0,0.0,0.5357,0.0,0.0,0.0,14.8214,9.1071,3.0,3,84,6,Concussion,252,0.5714,0.6,1,2,6574,2,0,3287.0,6574,392.9038,0.0312,0.1822,-0.3061,0.1729,0.2458,0,3,1,Negative,1.0,126.2143,-0.0665999999999999,13150,7501637.5,13801690.72684406,11281669.436106436
Kevin Schneider,2023/24,5,Napoli,Midfielder,3,29,138637995,18.7474,4,original,841,0.8187,Experienced,0,0,0,1,19,1045,55.0,2,1,8,9,2168,1552,71.6,2,5,2,0.4,22,14,53,0.0861,0.689,0.7751,0.7751,0.1111,8.0,1.6364,1.8947,2.5923,1,52,4,Ankle sprain,52,0.8261,0.2,1,1,2189,1,0,2189.0,2189,184.4437,0.313,0.0647,0.3575,0.0861,0.3294,2,1,0,Positive,1.1224666666666667,26.08695,0.2218,4379,118822728.0,143724860.26715213,133764008.16029128
Gabriel Lopez,2023/24,5,Feyenoord,Defender,2,29,12786680,16.3639,2,original,841,0.8187,Experienced,1,0,0,0,32,1728,54.0,2,2,16,7,1248,1030,82.6,2,63,50,0.7937,75,33,29,0.1042,0.8333,0.3646,0.9375,0.2857,8.0,5.0,3.9062,3.3333,1,55,3,Knee ligament injury,55,0.9143,0.2,1,2,3321,1,0,1660.5,3321,241.1293,0.0,0.1283,-0.2612,-0.0189,0.5406,0,1,2,Negative,1.4235999999999998,27.54285,-0.14005,6644,21922062.0,13019633.624685517,16580605.174811307
Julian Savic,2023/24,5,Sevilla,Midfielder,3,29,54131113,17.8069,3,original,841,0.8187,Experienced,0,0,0,1,7,392,56.0,1,0,2,10,1480,1108,74.9,2,19,8,0.4211,194,5,0,0.0,0.4592,2.2959,0.4592,0.0,2.0,5.5102,44.5408,15.4286,3,114,5,Achilles tendon injury,342,0.5833,0.6,1,5,14694,2,1,2938.8,14694,822.8434,0.1856,0.0832,0.1565,0.1767,0.33,2,1,2,Positive,5.295933333333333,171.20835,0.1666,29393,59612176.0,58384854.94406088,58875782.96643653
Harry Santos,2023/24,5,Liverpool,Midfielder,3,29,36806910,17.4212,3,original,841,0.8187,Experienced,0,0,0,1,11,726,66.0,1,5,3,39,580,423,73.0,2,48,22,0.4583,102,51,29,0.6198,0.3719,4.8347,0.9917,0.1282,0.6,12.2727,12.6446,8.814,0,0,0,,0,1.0,0.0,0,3,11665,1,1,3888.3333,11665,668.2135,0.0613,0.0357,0.0975,0.1361,0.35,1,0,2,Positive,3.2685666666666666,0.0,0.1168,23333,37673744.0,34016233.36477942,35479238.01886766
Bartosz Savic,2023/24,5,PSG,Forward,4,29,103937414,18.4593,4,original,841,0.8187,Experienced,0,1,0,0,25,2225,89.0,2,15,12,100,883,565,64.0,1,94,64,0.6809,40,13,26,0.6067,0.4854,4.0449,1.0921,0.15,0.8,4.3281,1.618,5.2989,2,27,0,Knee injury,54,1.0,0.4,1,4,13214,2,0,3303.5,13214,735.7669,0.2,0.064,0.1612,0.3042,0.4292,2,0,2,Positive,2.130333333333333,27.0,0.2327,26432,87682744.0,100546288.22279333,95400872.93367596
Kylian Robert,2023/24,5,Galatasaray,Forward,4,29,26537747,17.0941,2,original,841,0.8187,Experienced,0,1,0,0,31,2511,81.0,3,21,14,93,1755,1532,87.3,3,83,34,0.4096,175,16,30,0.7527,0.5018,3.3333,1.2545,0.2258,0.6667,3.5484,6.2724,6.81,3,86,11,Back injury,258,0.7381,0.6,1,5,11972,5,0,2394.4,11972,676.8837,0.038,0.2344,-0.284,0.6454,0.674,1,5,1,Negative,2.688166666666666,129.13095,0.1807,23949,32546604.0,26765670.825834047,29078044.495500427
Kevin Piotrowski,2023/24,5,Benfica,Defender,2,29,7872718,15.8789,1,original,841,0.8187,Experienced,1,0,0,0,8,568,71.0,1,3,0,13,2882,2046,71.0,2,95,70,0.7368,134,73,46,0.4754,0.0,2.0599,0.4754,0.2308,0.0,26.6197,21.2324,8.8257,3,50,2,Foot injury,150,0.8,0.6,1,4,14734,3,1,3683.5,14734,810.9964,0.19,0.0512,0.2832,0.385,0.531,2,0,3,Positive,3.1003666666666665,75.1,0.3341,29472,22364232.0,8564289.701034935,14084266.82062096
Federico Thomas,2023/24,5,Feyenoord,Defender,2,29,165523145,18.9246,4,original,841,0.8187,Experienced,1,0,0,0,15,1305,87.0,2,5,1,40,1218,936,76.9,2,89,59,0.6629,98,19,53,0.3448,0.069,2.7586,0.4138,0.125,0.2,7.4483,6.7586,4.5793,1,3,1,Hamstring injury,3,0.9375,0.2,1,2,2199,2,0,1099.5,2199,190.4257,0.057,0.1773,-0.2414,-0.0662,0.5374,1,3,0,Negative,1.6643666666666668,1.53125,-0.1538,4400,133927888.0,178173817.88200316,160475446.7292019
Diego Diallo,2023/24,5,PSV Eindhoven,Defender,2,29,129630212,18.6802,4,original,841,0.8187,Experienced,1,0,0,0,4,180,45.0,1,1,2,13,877,549,62.6,1,67,35,0.5224,84,35,3,0.5,1.0,6.5,1.5,0.0769,2.0,51.0,42.0,19.35,1,33,4,Shoulder injury,33,0.5,0.2,1,2,7171,0,0,3585.5,7171,454.2154,0.0,0.0927,-0.1335,0.3278,0.3222,0,1,2,Negative,6.95,16.75,0.0971499999999999,14344,53032160.0,119964147.95875816,93191352.77525488
