player_name,season,season_encoded,team,position,position_encoded,current_age,market_value_eur,log_market_value,market_value_tier_encoded,market_value_source,age_squared,age_decay_factor,career_stage,pos_Defender,pos_Forward,pos_Goalkeeper,pos_Midfielder,matches,minutes_played,minutes_per_match,minutes_played_tier_encoded,goals,assists,shots,passes_total,passes_complete,pass_accuracy_pct,pass_accuracy_tier_encoded,tackles_total,tackles_won,tackle_success_rate,dribbles,interceptions,fouls_committed,goals_per90,assists_per90,shots_per90,goal_contributions_per90,shot_conversion_rate,assist_to_goal_ratio,defensive_actions_per90,dribbles_per90,attacking_output_index,total_injuries,total_days_injured,total_matches_missed,most_common_injury,injury_burden_index,availability_rate,injury_frequency,total_injuries_tier_encoded,total_tweets,total_likes,positive_tweets,negative_tweets,tweet_engagement_rate,social_buzz_score,transfer_attractiveness_score,vader_positive_score,vader_negative_score,vader_compound_score,tb_polarity,tb_subjectivity,positive_count,negative_count,neutral_count,sentiment_label,lstm_pred
Adrien Larsen,2022/23,4,Atletico Madrid,Forward,4,28,83074177.0,18.2352,4,original,784,0.8607,Experienced,0,1,0,0,18,900,50.0,1,13,7,84,1562,1329,85.1,3,117,89,0.7607,25,20,44,1.3,0.7,8.4,2.0,0.1548,0.5385,13.7,2.5,10.25,3,43,4,Abdominal problems,129,0.8182,0.75,1,5,8823,3,1,1764.6,8823.0,525.1164,0.269,0.0924,0.3793,0.3836,0.5229,4,1,0,Positive,81615566.15292221
Adrien Larsen,2023/24,5,Atletico Madrid,Forward,4,29,83074177.0,18.2352,4,original,841,0.8187,Experienced,0,1,0,0,18,900,50.0,1,13,7,84,1562,1329,85.1,3,117,89,0.7607,25,20,44,1.3,0.7,8.4,2.0,0.1548,0.5385,13.7,2.5,10.25,3,43,4,Abdominal problems,129,0.8182,0.6,1,5,8823,3,1,1764.6,8823.0,526.6164,0.0532,0.2042,-0.2319,0.1506,0.4546,1,3,1,Negative,80359461.03987873
Adrien Zielinski,2022/23,4,PSG,Defender,2,28,83121132.0,18.2358,4,original,784,0.8607,Experienced,1,0,0,0,9,711,79.0,1,3,2,34,513,438,85.5,3,119,48,0.4034,129,80,1,0.3797,0.2532,4.3038,0.6329,0.0882,0.6667,25.1899,16.3291,8.6962,0,0,0,,0,1.0,0.0,0,2,7069,2,0,3534.5,7069.0,443.6159,0.067,0.1275,-0.0675,0.2938,0.45,1,2,1,Negative,82783639.48212907
Adrien Zielinski,2023/24,5,PSG,Defender,2,29,83121132.0,18.2358,4,original,841,0.8187,Experienced,1,0,0,0,9,711,79.0,1,3,2,34,513,438,85.5,3,119,48,0.4034,129,80,1,0.3797,0.2532,4.3038,0.6329,0.0882,0.6667,25.1899,16.3291,8.6962,0,0,0,,0,1.0,0.0,0,2,7069,2,0,3534.5,7069.0,443.6159,0.1895,0.1455,-0.015,-0.1704,0.3483,2,2,0,Neutral,83329874.69264454
Adrián López Álvarez,2022/23,4,Osasuna,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,20,20.0,1,0,0,1,14,11,78.6,2,1,1,1.0,1,0,0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,4.5,3.6,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,74.3836,0.1973,0.132,0.0961,0.3333,0.6667,2,1,0,Positive,7500000.0
Adrián López Álvarez,2023/24,5,Osasuna,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,20,20.0,1,0,0,1,14,11,78.6,2,1,1,1.0,1,0,0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,4.5,3.6,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,74.3836,0.084,0.1283,-0.1273,0.0644,0.6656,1,1,1,Negative,6333333.333333333
Adrián Marín Gómez,2022/23,4,Deportivo Alavés,Midfielder,3,28,4800000.0,15.3841,1,estimated,784,0.8607,Experienced,0,0,0,1,2,34,17.0,1,0,1,0,3,2,66.7,1,0,0,0.0,0,1,2,0.0,2.6471,0.0,2.6471,0.0,1.0,2.6471,0.0,5.2941,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,73.7194,0.1587,0.14,0.0212,0.1694,0.5815,1,1,1,Neutral,9000000.0
Adrián Marín Gómez,2023/24,5,Deportivo Alavés,Midfielder,3,29,4800000.0,15.3841,1,estimated,841,0.8187,Experienced,0,0,0,1,2,34,17.0,1,0,1,0,3,2,66.7,1,0,0,0.0,0,1,2,0.0,2.6471,0.0,2.6471,0.0,1.0,2.6471,0.0,5.2941,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,73.7194,0.1373,0.165,-0.1685,-0.2333,0.1,1,2,0,Negative,7600000.0
Aitor Fernández Abarisketa,2022/23,4,Levante UD,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,2,180,90.0,1,0,0,0,64,52,81.2,2,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,69.7636,0.2287,0.0993,0.2197,-0.0806,0.3377,2,1,0,Positive,7500000.0
Aitor Fernández Abarisketa,2023/24,5,Levante UD,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,2,180,90.0,1,0,0,0,64,52,81.2,2,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,69.7636,0.0,0.1823,-0.3032,0.1667,0.4833,0,2,1,Negative,6333333.333333333
Aitor Ruibal García,2022/23,4,Real Betis,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,2,93,46.5,1,0,0,0,19,13,68.4,1,1,1,1.0,6,3,1,0.0,0.0,0.0,0.0,0.0,0.0,3.871,5.8065,1.7419,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,68.5365,0.0,0.1203,-0.2138,-0.025,0.4648,0,2,1,Negative,7500000.0
Aitor Ruibal García,2023/24,5,Real Betis,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,2,93,46.5,1,0,0,0,19,13,68.4,1,1,1,1.0,6,3,1,0.0,0.0,0.0,0.0,0.0,0.0,3.871,5.8065,1.7419,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,68.5365,0.1447,0.0927,0.1278,0.1194,0.246,1,1,1,Positive,6333333.333333333
Alberto Moreno Pérez,2022/23,4,Villarreal,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,59,59.0,1,0,0,0,25,20,80.0,2,2,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0508,1.5254,0.4576,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,70.0901,0.1713,0.1327,0.1498,0.1754,0.3226,1,0,2,Positive,7500000.0
Alberto Moreno Pérez,2023/24,5,Villarreal,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,59,59.0,1,0,0,0,25,20,80.0,2,2,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0508,1.5254,0.4576,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,70.0901,0.084,0.1367,-0.1094,-0.0833,0.3083,1,2,0,Negative,6333333.333333333
Alberto Perea Correoso,2022/23,4,Cádiz,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,2,155,77.5,1,0,0,2,34,26,76.5,2,3,1,0.3333,8,7,2,0.0,0.0,1.1613,0.0,0.0,0.0,5.8065,4.6452,1.9742,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.3149,0.0613,0.17,-0.0816,-0.1,0.3593,1,2,0,Negative,7500000.0
Alberto Perea Correoso,2023/24,5,Cádiz,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,2,155,77.5,1,0,0,2,34,26,76.5,2,3,1,0.3333,8,7,2,0.0,0.0,1.1613,0.0,0.0,0.0,5.8065,4.6452,1.9742,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.3149,0.2863,0.112,0.2817,0.231,0.356,2,1,0,Positive,6333333.333333333
Alberto Rodríguez Baró,2022/23,4,Deportivo Alavés,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,27,23,85.2,3,1,0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,70.9636,0.1507,0.0357,0.3168,0.1917,0.4611,2,0,1,Positive,7500000.0
Alberto Rodríguez Baró,2023/24,5,Deportivo Alavés,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,90,90.0,1,0,0,0,27,23,85.2,3,1,0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,70.9636,0.0613,0.1347,-0.0528,0.1917,0.4278,1,1,1,Negative,6333333.333333333
Alberto Soro Álvarez,2022/23,4,Granada,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,24,24.0,1,0,0,0,9,7,77.8,2,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,68.7436,0.2133,0.0927,0.1172,0.2167,0.3,2,1,0,Positive,7500000.0
Alberto Soro Álvarez,2023/24,5,Granada,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,24,24.0,1,0,0,0,9,7,77.8,2,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,68.7436,0.0613,0.0357,0.0975,0.1361,0.35,1,0,2,Positive,6333333.333333333
Alejandro Berenguer Remiro,2022/23,4,Athletic Club,Midfielder,3,28,4800000.0,15.3841,1,estimated,784,0.8607,Experienced,0,0,0,1,2,50,25.0,1,0,1,2,28,21,75.0,2,1,0,0.0,2,1,0,0.0,1.8,3.6,1.8,0.0,1.0,3.6,3.6,6.48,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.9883,0.108,0.163,-0.1383,-0.1667,0.1833,1,2,0,Negative,9000000.0
Alejandro Berenguer Remiro,2023/24,5,Athletic Club,Midfielder,3,29,4800000.0,15.3841,1,estimated,841,0.8187,Experienced,0,0,0,1,2,50,25.0,1,0,1,2,28,21,75.0,2,1,0,0.0,2,1,0,0.0,1.8,3.6,1.8,0.0,1.0,3.6,3.6,6.48,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.9883,0.2273,0.0853,0.2527,0.0306,0.3294,1,0,2,Positive,7600000.0
Alejandro Blanco Sánchez,2022/23,4,Valencia,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,48,48.0,1,0,0,0,11,6,54.5,1,2,0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,5.625,1.875,0.5625,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,62.5974,0.2337,0.0647,0.3361,0.4333,0.6417,2,1,0,Positive,7500000.0
Alejandro Blanco Sánchez,2023/24,5,Valencia,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,48,48.0,1,0,0,0,11,6,54.5,1,2,0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,5.625,1.875,0.5625,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,62.5974,0.0,0.0657,-0.1334,-0.0667,0.2333,0,1,2,Negative,6333333.333333333
Alejandro Camara,2022/23,4,Fenerbahce,Midfielder,3,28,85667466.0,18.266,4,original,784,0.8607,Experienced,0,0,0,1,4,256,64.0,1,1,0,5,246,161,65.7,1,49,29,0.5918,200,33,10,0.3516,0.0,1.7578,0.3516,0.2,0.0,28.8281,70.3125,23.0273,2,85,7,Ankle sprain,170,0.3636,0.5,1,3,9512,3,0,3170.6667,9512.0,573.2012,0.0504,0.1852,-0.2193,0.255,0.255,1,4,0,Negative,84090022.39125013
Alejandro Camara,2023/24,5,Fenerbahce,Midfielder,3,29,85667466.0,18.266,4,original,841,0.8187,Experienced,0,0,0,1,4,256,64.0,1,1,0,5,246,161,65.7,1,49,29,0.5918,200,33,10,0.3516,0.0,1.7578,0.3516,0.2,0.0,28.8281,70.3125,23.0273,2,85,7,Ankle sprain,170,0.3636,0.4,1,3,9512,3,0,3170.6667,9512.0,574.2012,0.197,0.096,0.1924,0.3633,0.4767,3,2,0,Positive,84060396.09950188
Alejandro Darío Gómez,2022/23,4,Sevilla,Midfielder,3,28,4000000.0,15.2018,1,estimated,784,0.8607,Experienced,0,0,0,1,1,45,45.0,1,0,0,0,14,10,71.4,2,1,0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,66.8236,0.1373,0.0357,0.2077,0.025,0.2944,2,0,1,Positive,7500000.0
Alejandro Darío Gómez,2023/24,5,Sevilla,Midfielder,3,29,4000000.0,15.2018,1,estimated,841,0.8187,Experienced,0,0,0,1,1,45,45.0,1,0,0,0,14,10,71.4,2,1,0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,66.8236,0.0887,0.1757,-0.1028,-0.0824,0.4576,1,1,1,Negative,6333333.333333333
Alejandro Fernández Iglesias,2022/23,4,Cádiz,Midfielder,3,28,4800000.0,15.3841,1,estimated,784,0.8607,Experienced,0,0,0,1,2,123,61.5,1,1,0,1,50,33,66.0,1,3,1,0.3333,1,2,0,0.7317,0.0,0.7317,0.7317,1.0,0.0,3.6585,0.7317,2.7805,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,69.739,0.0,0.2117,-0.3352,0.0,0.3333,0,2,1,Negative,9000000.0
Alejandro Fernández Iglesias,2023/24,5,Cádiz,Midfielder,3,29,4800000.0,15.3841,1,estimated,841,0.8187,Experienced,0,0,0,1,2,123,61.5,1,1,0,1,50,33,66.0,1,3,1,0.3333,1,2,0,0.7317,0.0,0.7317,0.7317,1.0,0.0,3.6585,0.7317,2.7805,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,69.739,0.0,0.2037,-0.3667,-0.125,0.4148,0,3,0,Negative,7600000.0
Alejandro Hoffmann,2022/23,4,Manchester City,Midfielder,3,28,242023418.0,19.3045,4,original,784,0.8607,Experienced,0,0,0,1,34,1598,47.0,2,7,6,65,2147,1492,69.5,1,14,9,0.6429,71,69,36,0.3942,0.3379,3.6608,0.7322,0.1077,0.8571,4.6746,3.9987,4.8886,0,0,0,,0,1.0,0.0,0,5,13020,3,0,2604.0,13020.0,732.792,0.0,0.1118,-0.1678,-0.04,0.14,0,3,2,Negative,243726515.98252985
Alejandro Hoffmann,2023/24,5,Manchester City,Midfielder,3,29,242023418.0,19.3045,4,original,841,0.8187,Experienced,0,0,0,1,34,1598,47.0,2,7,6,65,2147,1492,69.5,1,14,9,0.6429,71,69,36,0.3942,0.3379,3.6608,0.7322,0.1077,0.8571,4.6746,3.9987,4.8886,0,0,0,,0,1.0,0.0,0,5,13020,3,0,2604.0,13020.0,732.792,0.2404,0.099,0.3044,0.2683,0.4726,3,1,1,Positive,243963716.1818315
Alejandro Maksimovic,2022/23,4,Bayer Leverkusen,Defender,2,28,11969332.0,16.2979,2,original,784,0.8607,Experienced,1,0,0,0,32,2208,69.0,2,3,7,28,2632,1645,62.5,1,118,93,0.7881,92,40,8,0.1223,0.2853,1.1413,0.4076,0.1071,2.3333,6.4402,3.75,2.6332,0,0,0,,0,1.0,0.0,0,1,617,0,0,617.0,617.0,101.1454,0.0613,0.0357,0.0975,0.1361,0.35,1,0,2,Positive,4490057.724401642
Alejandro Maksimovic,2023/24,5,Bayer Leverkusen,Defender,2,29,11969332.0,16.2979,2,original,841,0.8187,Experienced,1,0,0,0,32,2208,69.0,2,3,7,28,2632,1645,62.5,1,118,93,0.7881,92,40,8,0.1223,0.2853,1.1413,0.4076,0.1071,2.3333,6.4402,3.75,2.6332,0,0,0,,0,1.0,0.0,0,1,617,0,0,617.0,617.0,101.1454,0.0417,0.227,-0.3547,-0.0194,0.3593,0,3,0,Negative,2844545.2387275924
Alejandro Moreno Lopera,2022/23,4,Real Betis,Midfielder,3,28,4800000.0,15.3841,1,estimated,784,0.8607,Experienced,0,0,0,1,2,180,90.0,1,0,1,2,90,72,80.0,2,7,2,0.2857,4,1,4,0.0,0.5,1.0,0.5,0.0,1.0,4.0,2.0,2.1,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,72.9183,0.1683,0.1443,-0.0025,0.0167,0.1833,1,2,0,Neutral,9000000.0
Alejandro Moreno Lopera,2023/24,5,Real Betis,Midfielder,3,29,4800000.0,15.3841,1,estimated,841,0.8187,Experienced,0,0,0,1,2,180,90.0,1,0,1,2,90,72,80.0,2,7,2,0.2857,4,1,4,0.0,0.5,1.0,0.5,0.0,1.0,4.0,2.0,2.1,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,72.9183,0.0,0.0797,-0.0987,-0.0667,0.2333,0,1,2,Negative,7600000.0
Alejandro Nilsen,2022/23,4,Manchester City,Defender,2,28,44582636.0,17.6129,3,original,784,0.8607,Experienced,1,0,0,0,9,468,52.0,1,6,2,41,772,530,68.7,1,87,37,0.4253,141,76,38,1.1538,0.3846,7.8846,1.5385,0.1463,0.3333,31.3462,27.1154,16.3077,0,0,0,,0,1.0,0.0,0,1,2785,1,0,2785.0,2785.0,234.5472,0.108,0.179,-0.1609,-0.2333,0.0667,1,2,0,Negative,48020428.43094101
Alejandro Nilsen,2023/24,5,Manchester City,Defender,2,29,44582636.0,17.6129,3,original,841,0.8187,Experienced,1,0,0,0,9,468,52.0,1,6,2,41,772,530,68.7,1,87,37,0.4253,141,76,38,1.1538,0.3846,7.8846,1.5385,0.1463,0.3333,31.3462,27.1154,16.3077,0,0,0,,0,1.0,0.0,0,1,2785,1,0,2785.0,2785.0,234.5472,0.0603,0.0647,-0.0172,0.2944,0.4056,0,1,2,Neutral,47534219.87020879
